mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,label
-113.59882,121.57067,-19.162262,42.363937,-6.362266,18.621931,-13.699734,15.339802,-12.274304,10.970946,-8.32606,8.802088,-3.6699412,5.7446756,-5.162783,0.75170654,-1.687854,-0.40872997,-2.3026767,1.2224671,-3.5328746,-1.1397806,-4.282828,-4.226084,0.9151875,0.9140638,-5.761807,-3.9328036,1.5094348,2.6984656,5.656073,-3.269008,-0.20606375,-2.999698,4.476317,-0.47685498,6.006285,-0.05969035,-3.4585848,-1.8418322,blues
-207.52383,123.98514,8.94702,35.86715,2.9095948,21.519472,-8.556513,23.370676,-10.103608,11.899242,-5.558824,5.3778763,-2.234492,4.220704,-6.0106864,0.92929417,-0.728403,0.29687235,-0.28243044,0.53064436,-4.0987844,-1.2431856,-2.851357,-4.350195,3.2750847,1.2195734,-0.013765528,-0.066608295,3.9790337,-0.45776737,0.83601886,-3.7432172,-4.0997047,-2.4519055,5.8348074,3.5449877,4.89732,-0.41559693,-1.9954144,-0.46521786,blues
-90.757164,140.44087,-29.084547,31.686693,-13.976547,25.753752,-13.664991,11.634442,-11.778322,9.714756,-13.125314,5.791247,-8.901966,-1.08016,-9.226245,2.4483044,-7.7248397,-1.819024,-3.4404576,-2.2381277,-4.052338,-0.5714226,-2.0118372,-5.386335,-5.1335306,-7.805535,-1.1687835,-0.20596682,1.3964347,-3.00188,-1.3764814,-4.7496324,-0.37751576,0.49346918,0.44727063,-4.162672,-4.815749,-6.7032337,-4.425334,-0.98151916,blues
-199.57513,150.0861,5.663404,26.855282,1.7700713,14.232647,-4.827845,9.286853,-0.75612015,8.134435,-3.200026,6.078081,-2.4784453,-1.0815871,-2.8744543,0.77399397,-3.3240693,0.63631064,-0.6159675,-3.405046,-1.4968088,-0.054011628,-1.8613145,-4.709931,-3.9263315,-6.64948,-2.8977783,-3.2251306,-0.2723147,-3.8175535,-2.8219495,-4.2044272,-2.7023358,-3.8456037,-2.52441,-4.93561,-5.954977,-6.616996,-6.396002,-1.5011889,blues
-160.35417,126.20948,-35.581394,22.139256,-32.47355,10.850702,-23.35007,0.49324903,-11.796538,1.2035191,-13.084959,-2.8104997,-6.9344707,-7.5538754,-9.167669,-4.515863,-5.4517856,-0.9159524,-4.4080176,-11.704385,-5.866304,-0.721432,0.95571446,-1.2184657,4.58054,0.30164933,-1.2800436,-4.4865327,-0.41062197,0.2792642,8.481701,3.6461463,-3.0076735,-6.110803,-6.9519696,-4.0705533,-1.1372157,-0.4916049,-4.786619,-3.2211275,blues
-177.80174,118.20316,-17.57063,30.760927,-21.742554,11.919263,-20.734299,3.1852882,-8.580818,-0.9328852,-11.772245,-2.408764,-9.348446,-9.942636,-3.9021835,-5.574562,-1.8393143,-2.7893167,-3.047805,-8.109732,-2.4683325,-1.7097126,-4.2748,-4.638067,-2.3258955,0.9291905,4.380316,5.1934037,5.691942,2.533288,2.618916,-4.3523993,-6.8065543,-2.9144077,-1.0607132,1.9090171,1.0149453,-3.1143415,-5.300716,-5.259621,blues
-190.0688,130.27023,-36.362114,33.03621,11.093892,-0.5918818,-20.890266,0.27844238,-6.496385,-5.5127354,-7.847404,-3.1243007,-6.602821,-9.949999,-6.5426884,-10.072228,-10.918624,-6.9652433,-3.439432,-6.484499,-7.109118,-7.1270666,-5.2788844,-4.594155,-3.248537,-2.902407,1.4326024,2.9310665,2.11799,-1.4838629,-0.63566715,2.9653616,2.610367,1.7908589,-1.9822515,-5.1708612,-2.3732464,0.14038283,3.7044878,5.2581644,blues
-179.3723,136.44833,-26.662588,39.96545,5.3108945,10.919135,-20.559534,8.50336,-11.349764,-3.470555,-8.415842,-6.957211,-3.5460427,-8.051759,-8.964918,-8.427482,-10.5642805,-10.785659,-4.6954694,-8.631641,-11.013334,-10.376792,-1.8437738,-1.445948,-3.1292245,-1.1877846,-3.6127698,-3.2484038,-0.6325798,0.8964797,4.022117,2.7066686,-0.16680875,-2.5277653,-3.4568138,-2.8802347,0.7377762,-1.9461105,-4.87563,-3.2393322,blues
-121.38979,122.49833,-14.734729,46.122135,-8.179258,20.172466,-19.171894,23.036839,-11.832729,21.154655,-6.7227974,6.989506,-12.730549,5.0585384,-5.1858068,-1.4536041,-7.0426297,2.694213,3.4095309,-2.7137442,-4.271836,-0.6242572,-4.291122,-13.373034,-8.269029,-2.0969207,10.555008,2.9229867,-1.035578,-0.7515337,-0.5030914,-1.4110123,-1.886272,-1.8116939,2.366849,-4.3018703,-3.8826876,-5.0936933,0.50897497,1.1860472,blues
-213.26424,115.16476,-11.69817,39.015358,-20.34833,13.082702,-9.182701,9.017152,-14.104312,4.271254,-6.0507803,3.7858355,0.22263548,-5.106882,-0.41015333,-1.1793449,-1.9147079,-2.2936609,2.8842604,-4.2338796,1.5943896,2.4687598,-0.89877784,1.8610442,5.0366416,0.77003556,5.6383834,0.4404486,-0.9026747,-2.202855,-1.8906778,-3.458123,-0.97014093,1.5458177,3.1887379,4.5513167,1.9031553,-0.6868152,-2.7414927,-0.05906296,blues
-173.81046,137.17355,-23.723028,26.979673,-16.675209,4.1947274,-12.571786,5.851667,-2.8769488,-1.1783822,-1.9682394,1.8011789,-3.0069497,-1.8669496,-0.79124343,-3.0062358,-0.43072963,-1.9965144,-0.7501042,-5.0069656,-1.8180923,0.81014603,2.505248,-1.6428746,-3.3367789,-0.14087585,4.489282,8.856526,9.321394,1.2949809,-1.8138595,-6.4791427,-3.8715281,1.7992786,-3.1962483,-5.8534436,-6.7214494,-1.433683,3.2794235,1.2398112,blues
-287.9319,124.010765,5.4674478,33.66307,1.0916537,14.703699,-4.8811417,8.668892,0.7843314,6.57608,-4.875815,-3.1767612,-5.538258,-6.779148,-2.6465132,-2.9903204,-3.3829944,-1.8589838,1.839186,-4.8913555,-5.5366764,-3.6112394,-2.0613205,-6.509808,-6.871236,-2.7818952,1.6405017,-1.8866963,-4.676811,-3.332531,-2.253273,-1.9183098,-1.8669318,-1.3511275,-2.9252892,-2.6896744,-1.29857,-1.4034741,-1.2837461,0.8156746,blues
-207.2383,132.82741,-15.45408,60.980972,0.7190263,12.4613285,1.1633852,-1.5329198,-17.895847,8.360363,-2.4596505,-0.58463913,0.3722646,2.5984128,-5.186428,-9.53031,-9.237473,-2.8471038,-1.4193834,-5.9333534,7.7672434,4.0876474,4.05793,3.6490533,6.0037694,0.42371088,2.0495706,1.4338622,6.502817,9.650159,6.680248,0.18571633,-2.3584752,-1.0697442,-0.2615271,4.1261997,0.7887909,0.5356411,0.94119865,3.3003025,blues
-209.80392,124.46476,10.309394,47.016357,6.478227,15.41512,-2.0159414,6.7262187,-21.543222,10.720836,-5.5328465,-2.1957276,-3.0491858,8.643512,-0.30701315,-0.63291776,-2.933559,-1.7062988,-1.7673151,-7.755139,3.4195647,3.5794141,2.8131702,-0.63404304,3.5638633,-5.524269,0.75086695,5.15997,8.5307455,5.9562635,7.44354,1.6496032,-0.54385275,2.1704037,3.7535543,2.5672154,0.38704827,-0.09665729,-1.5357484,1.3135753,blues
-305.66437,113.07102,12.107334,45.052197,17.734385,14.590071,4.147996,0.22631118,-7.021587,13.646477,8.91421,1.3037987,5.9549794,8.547473,1.1196222,0.59824103,0.060842656,-3.7137508,-0.99353415,-1.8043829,4.9606986,4.335031,3.4170098,1.2741938,2.875421,2.228457,3.4693353,6.0261836,7.7702293,9.802872,8.953389,3.793344,-1.936009,-0.68857175,1.9562247,2.851596,-0.052378595,-0.79402405,-2.332264,1.6225643,blues
-238.51962,120.10219,-4.221948,42.294594,5.923822,13.911398,5.350524,1.8952675,-16.928087,12.343145,3.9388995,-1.3966832,0.013027772,3.585257,-4.500639,-5.5398455,-6.8845096,-4.824554,1.7439975,-1.8783106,6.8886385,5.3057194,5.5379066,0.5440277,1.8469826,-0.08214083,4.235516,4.3461466,5.972626,6.7789073,4.517948,1.3841991,-0.05277464,-0.61485684,-2.3416562,1.8995881,-0.57299507,-1.7211277,-1.4194746,2.1596076,blues
-233.77281,120.66434,-3.1640923,39.514828,3.8315244,18.828156,-3.6787386,4.4254684,-14.964929,17.571478,1.8461251,2.5500886,-1.230239,8.437056,-0.2002477,-3.8908288,-4.4561353,0.011000678,1.2948041,-2.0984619,6.7892632,0.5853053,1.6381477,-0.73148876,3.0726051,-1.9939363,3.6389744,3.613337,3.6253002,0.67103803,5.3867164,8.283115,8.566068,5.548952,0.64700854,-2.0124927,-0.78844273,3.9996028,0.4996949,-0.89294577,blues
-245.68721,140.48125,-2.7912185,60.404514,18.903513,9.828394,3.5638244,0.52286255,-16.378489,6.6293535,7.2584243,-4.021235,1.601125,5.8965745,-3.0172145,-4.7756925,-3.0362885,-1.9979147,-0.049571745,-3.9618294,-0.39036062,1.9787875,0.46754545,-1.8194242,2.7958221,0.63500875,1.4149066,4.8250365,3.6250064,2.6749988,4.7974286,6.652522,7.7428885,6.7837853,0.33915848,-1.7995279,0.13129243,2.411912,2.5563343,0.106681876,blues
-252.48178,104.94516,15.296445,42.68784,6.770452,21.611765,-1.3111783,5.681745,-16.636873,12.16935,-1.9619533,1.9602653,-0.89822775,7.7623606,2.3758616,1.7791142,1.3305403,3.6150513,4.9066,-2.6610513,4.108048,2.2107766,2.5487442,-1.6179953,2.8880687,-3.0624764,0.24144308,0.55991966,4.8141713,3.662896,3.539385,0.73919964,1.6082972,3.346762,2.3809476,3.213437,0.058956962,-1.4272226,-0.5640772,2.4639738,blues
-236.67947,138.4056,-4.930479,47.6545,5.1578503,8.887806,0.4874058,-3.788342,-14.984866,10.428946,-0.34138417,0.7833588,1.7809838,4.22956,-0.47476926,-6.104543,-5.394643,-1.3449988,-3.725463,-4.37371,4.5424595,0.07431979,5.442293,3.7088485,1.9625508,0.33865124,4.9636903,2.3795106,0.43545884,1.8166516,5.914307,10.841658,8.701644,5.5548515,2.368144,-0.42195624,-2.1511402,1.4968754,-0.9567268,-1.8855917,blues
